"部門コード","部門名","商品コード","商品名","仕様・規格","単位","集計年月","総売上額","純売上額","原価計","総売上数","純売上数","明細数","粗利益","粗利率"
"DNK-E","電力機器事業部","E-00002801","NF32-SV 3P 30A (A)","","個","2022/07","25760","25760","17640","14.0000","14.0000","4","8120","31.5"
"DNK-E","電力機器事業部","E-00002801","NF32-SV 3P 30A (A)","","個","2022/11","5520","5520","3780","3.0000","3.0000","1","1740","31.5"
"DNK-E","電力機器事業部","E-00002804","NF32-SV 3P 30A (U)","","個","2022/10","3220","3220","2460","2.0000","2.0000","1","760","23.6"
"DNK-E","電力機器事業部","E-00002804","NF32-SV 3P 30A (U)","","個","2023/03","8800","8800","5800","4.0000","4.0000","1","3000","34.1"
"DNK-E","電力機器事業部","E-00002809","NF32-SV 3P 3A (A)","","個","2022/06","7360","7360","5040","4.0000","4.0000","1","2320","31.5"
"DNK-E","電力機器事業部","E-00002829","NF63-SV 2P 15A (A)","","個","2023/02","10970","10970","8350","5.0000","5.0000","2","2620","23.9"
"DNK-E","電力機器事業部","E-00002829","NF63-SV 2P 15A (A)","","個","2023/03","23320","23320","16110","9.0000","9.0000","2","7210","30.9"
"DNK-E","電力機器事業部","E-00002832","NF63-SV 2P 15A (U)","","個","2022/05","2030","2030","1550","1.0000","1.0000","1","480","23.6"
"DNK-E","電力機器事業部","E-00002832","NF63-SV 2P 15A (U)","","個","2022/10","4060","4060","3100","2.0000","2.0000","1","960","23.6"
"DNK-E","電力機器事業部","E-00002832","NF63-SV 2P 15A (U)","","個","2022/11","6000","6000","3560","2.0000","2.0000","1","2440","40.7"
"DNK-E","電力機器事業部","E-00002832","NF63-SV 2P 15A (U)","","個","2022/12","1710","1710","1550","1.0000","1.0000","1","160","9.4"
"DNK-E","電力機器事業部","E-00002832","NF63-SV 2P 15A (U)","","個","2023/01","13090","13090","8900","5.0000","5.0000","3","4190","32"
"DNK-E","電力機器事業部","E-00002832","NF63-SV 2P 15A (U)","","個","2023/02","11770","11770","10220","6.0000","6.0000","4","1550","13.2"
"DNK-E","電力機器事業部","E-00002832","NF63-SV 2P 15A (U)","","個","2023/03","10260","10260","9300","6.0000","6.0000","1","960","9.4"
"DNK-E","電力機器事業部","E-00002836","NF63-SV 2P 20A (U)","","個","2022/10","29550","29550","23250","15.0000","15.0000","3","6300","21.3"
"DNK-E","電力機器事業部","E-00002836","NF63-SV 2P 20A (U)","","個","2022/12","15960","15960","11080","7.0000","7.0000","4","4880","30.6"
"DNK-E","電力機器事業部","E-00002836","NF63-SV 2P 20A (U)","","個","2023/01","3420","3420","3100","2.0000","2.0000","1","320","9.4"
"DNK-E","電力機器事業部","E-00002836","NF63-SV 2P 20A (U)","","個","2023/02","0","0","0","0.0000","0.0000","1","0",""
"DNK-E","電力機器事業部","E-00002836","NF63-SV 2P 20A (U)","","個","2023/04","1970","1970","1780","1.0000","1.0000","1","190","9.6"
"DNK-E","電力機器事業部","E-00002837","NF63-SV 2P 30A (A)","","個","2023/02","2440","2440","1790","1.0000","1.0000","1","650","26.6"
"DNK-E","電力機器事業部","E-00002840","NF63-SV 2P 30A (U)","","個","2023/01","4310","4310","3330","2.0000","2.0000","2","980","22.7"
"DNK-E","電力機器事業部","E-00002844","NF63-SV 2P 40A (U)","","個","2022/10","4960","4960","3100","2.0000","2.0000","1","1860","37.5"
"DNK-E","電力機器事業部","E-00002848","NF63-SV 2P 50A (U)","","個","2022/07","2320","2320","1550","1.0000","1.0000","1","770","33.2"
"DNK-E","電力機器事業部","E-00002865","NF63-SV 3P 10A (A)","","個","2023/03","3300","3300","2430","1.0000","1.0000","1","870","26.4"
"DNK-E","電力機器事業部","E-00002866","NF63-SV 3P 10A (B)","","個","2023/01","3300","3300","2990","1.0000","1.0000","1","310","9.4"
"DNK-E","電力機器事業部","E-00002872","NF63-SV 3P 15A (U)","","個","2023/02","4660","4660","4200","2.0000","2.0000","1","460","9.9"
"DNK-E","電力機器事業部","E-00002873","NF63-SV 3P 20A (A)","","個","2023/02","3300","3300","2430","1.0000","1.0000","1","870","26.4"
"DNK-E","電力機器事業部","E-00002876","NF63-SV 3P 20A (U)","","個","2022/05","46600","46600","42000","20.0000","20.0000","1","4600","9.9"
"DNK-E","電力機器事業部","E-00002876","NF63-SV 3P 20A (U)","","個","2022/09","11650","11650","10500","5.0000","5.0000","1","1150","9.9"
"DNK-E","電力機器事業部","E-00002876","NF63-SV 3P 20A (U)","","個","2022/11","3720","3720","2100","1.0000","1.0000","1","1620","43.5"
"DNK-E","電力機器事業部","E-00002876","NF63-SV 3P 20A (U)","","個","2022/12","3770","3770","2100","1.0000","1.0000","1","1670","44.3"
"DNK-E","電力機器事業部","E-00002877","NF63-SV 3P 30A (A)","","個","2022/11","12640","12640","9720","4.0000","4.0000","1","2920","23.1"
"DNK-E","電力機器事業部","E-00002877","NF63-SV 3P 30A (A)","","個","2023/02","3300","3300","2430","1.0000","1.0000","1","870","26.4"
"DNK-E","電力機器事業部","E-00002880","NF63-SV 3P 30A (U)","","個","2022/05","2330","2330","2100","1.0000","1.0000","1","230","9.9"
"DNK-E","電力機器事業部","E-00002880","NF63-SV 3P 30A (U)","","個","2022/09","11650","11650","10500","5.0000","5.0000","1","1150","9.9"
"DNK-E","電力機器事業部","E-00002880","NF63-SV 3P 30A (U)","","個","2023/02","4660","4660","4200","2.0000","2.0000","1","460","9.9"
"DNK-E","電力機器事業部","E-00002880","NF63-SV 3P 30A (U)","","個","2023/03","6320","6320","4820","2.0000","2.0000","1","1500","23.7"
"DNK-E","電力機器事業部","E-00002880","NF63-SV 3P 30A (U)","","個","2023/04","28440","28440","21070","9.0000","9.0000","2","7370","25.9"
"DNK-E","電力機器事業部","E-00002881","NF63-SV 3P 40A (A)","","個","2023/03","3300","3300","2430","1.0000","1.0000","1","870","26.4"
"DNK-E","電力機器事業部","E-00002885","NF63-SV 3P 50A (A)","","個","2023/02","6600","6600","4860","2.0000","2.0000","1","1740","26.4"
"DNK-E","電力機器事業部","E-00002886","NF63-SV 3P 50A (B)","","個","2022/07","2750","2750","2500","1.0000","1.0000","1","250","9.1"
"DNK-E","電力機器事業部","E-00002888","NF63-SV 3P 50A (U)","","個","2022/06","2750","2750","2100","1.0000","1.0000","1","650","23.6"
"DNK-E","電力機器事業部","E-00002888","NF63-SV 3P 50A (U)","","個","2022/07","2330","2330","2100","1.0000","1.0000","1","230","9.9"
"DNK-E","電力機器事業部","E-00002888","NF63-SV 3P 50A (U)","","個","2022/10","5500","5500","4200","2.0000","2.0000","1","1300","23.6"
